url_path,views_total,views_unique
/KajaBraz/FootballScorersAnalysis,7,6
/KajaBraz/FootballScorersAnalysis/blob/main/README.md,4,1
/KajaBraz/FootballScorersAnalysis/blob/151135259cd26e60c1f02d073f9e6a3faeedaf13/assists_2021.html,3,1
/KajaBraz/FootballScorersAnalysis/tree/main/src,3,1
/KajaBraz/FootballScorersAnalysis/blame/151135259cd26e60c1f02d073f9e6a3faeedaf13/assists_2021.html,2,1
/KajaBraz/FootballScorersAnalysis/blob/main/src/2024/data.json,2,1
/KajaBraz/FootballScorersAnalysis/blob/main/src/2024/get_teams_players.py,2,1
/KajaBraz/FootballScorersAnalysis/commit/151135259cd26e60c1f02d073f9e6a3faeedaf13,2,1
/KajaBraz/FootballScorersAnalysis/commit/62d05bdd7b891dffcdce2a725e0abc4db61e9fa9,1,1
/KajaBraz/FootballScorersAnalysis/commit/6cab11252e26e5c627e2cf7910fc1fa7d2d10e09,1,1
